201811 51400-2530 35690 130033 1 12HCH5
201811 51900-2590 35790 130033 1 12HCH5
201811 6 200-2670 35920 130033 1 12HCH5
201811 6 700-2720     0 130033 1 12HCH5
201811 61100-2760    70 130033 1 12HCH5
201811 61400-2790   130 130033 1 12HCH5
201811 62200-2880   300 130033 1 12HCH5
201811 7 100-2900   350 130033 1 12HCH5
201811 7 600-2960   450 130033 1 12HCH5
201811 71000-2990   520 130033 1 12HCH5
201811 71300-3020   570 130034 1 12HCH5
201811 72200-3100   740 130033 1 12HCH5
201811 8 100-3120   800 130033 1 12HCH5
201811 81000-3210   990 130033 1 12HCH5
201811 81300-3230  1050 130033 1 12HCH5
201811 81800-3280  1150 130033 1 12HCH5
201811 82200-3310  1240 130033 1 12HCH5
201811 9 100-3330  1290 130033 1 12HCH5
201811 9 600-3380  1410 130033 1 12HCH5
201811 91000-3410  1500 130033 1 12HCH5
201811 91200-3420  1530 130033 1 12HCH5
201811 91700-3470  1650 130033 1 12HCH5
201811 92100-3500  1740 130033 1 12HCH5
20181110   0-3520  1800 130033 1 12HCH5
20181110 500-3550  1900 130033 1 12HCH5
20181110 900-3580  1980 130033 1 12HCH5
201811101300-3580  2090 130023 1 12HCH5
201811102100-3580  2280 130022 1 12HCH5
20181111   0-3580  2310 130022 1 12HCH5
20181111 500-3580  2430 130023 1 12HCH5
201811111300-3550  2630 130023 1 12HCH5
201811112100-3510  2810 130023 1 12HCH5
20181112   0-3490  2870 130023 1 12HCH5
20181112 500-3460  2990 130023 1 12HCH5
20181112 900-3440  3080 130023 1 12HCH5
201811121100-3430  3130 130023 1 12HCH5
201811121600-3400  3230 130023 1 12HCH5
201811122300-3350  3390 130023 1 12HCH5
20181113 400-3320  3500 130023 1 12HCH5
20181113 800-3290  3580 130023 1 12HCH5
201811131100-3270  3650 130023 1 12HCH5
201811131600-3240  3770 130023 1 12HCH5
201811132000-3210  3860 130023 1 12HCH5
20181114 400-3140  4030 130023 1 12HCH5
201811141100-3090  4180 130023 1 12HCH5
201811141500-3060  4260 130023 1 12HCH5
201811141900-3030  4340 130023 1 12HCH5
201811142200-3000  4410 130023 1 12HCH5
